"index","payment_date","userid","price","payment_period"
"112","2017-01-09T00:00:00.000Z","01fd51f53b6c094351c0","5000","2017-01-01T00:00:00.000Z"
"113","2017-02-09T00:00:00.000Z","01fd51f53b6c094351c0","5000","2017-02-01T00:00:00.000Z"
"114","2016-10-07T00:00:00.000Z","020397c2344d36745bb7","5000","2016-10-01T00:00:00.000Z"
"115","2016-11-07T00:00:00.000Z","020397c2344d36745bb7","5000","2016-11-01T00:00:00.000Z"
"116","2016-12-07T00:00:00.000Z","020397c2344d36745bb7","5000","2016-12-01T00:00:00.000Z"
"117","2017-01-07T00:00:00.000Z","020397c2344d36745bb7","5000","2017-01-01T00:00:00.000Z"
"118","2017-02-07T00:00:00.000Z","020397c2344d36745bb7","5000","2017-02-01T00:00:00.000Z"
"119","2017-01-15T00:00:00.000Z","020c97e01664cc1b1555","5000","2017-01-01T00:00:00.000Z"
"120","2016-05-31T00:00:00.000Z","0210d0e06270d3af3965","5000","2016-05-01T00:00:00.000Z"
"121","2016-06-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-06-01T00:00:00.000Z"
"122","2016-07-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-07-01T00:00:00.000Z"
"123","2016-08-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-08-01T00:00:00.000Z"
"124","2016-09-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-09-01T00:00:00.000Z"
"125","2016-10-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-10-01T00:00:00.000Z"
"126","2016-11-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-11-01T00:00:00.000Z"
"127","2016-12-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2016-12-01T00:00:00.000Z"
"128","2017-01-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2017-01-01T00:00:00.000Z"
"129","2017-02-09T00:00:00.000Z","0213de5c0c982c5c6eaf","5000","2017-02-01T00:00:00.000Z"
"130","2016-11-12T00:00:00.000Z","0223d7b18821a38c3134","5000","2016-11-01T00:00:00.000Z"
"131","2016-08-10T00:00:00.000Z","029241e125aed7349dab","5000","2016-08-01T00:00:00.000Z"
"132","2016-09-10T00:00:00.000Z","029241e125aed7349dab","5000","2016-09-01T00:00:00.000Z"
"133","2016-10-10T00:00:00.000Z","029241e125aed7349dab","5000","2016-10-01T00:00:00.000Z"
"134","2016-11-10T00:00:00.000Z","029241e125aed7349dab","5000","2016-11-01T00:00:00.000Z"
"135","2016-12-10T00:00:00.000Z","029241e125aed7349dab","5000","2016-12-01T00:00:00.000Z"
"136","2017-01-10T00:00:00.000Z","029241e125aed7349dab","5000","2017-01-01T00:00:00.000Z"
"137","2017-02-10T00:00:00.000Z","029241e125aed7349dab","5000","2017-02-01T00:00:00.000Z"
"138","2016-06-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-06-01T00:00:00.000Z"
"139","2016-07-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-07-01T00:00:00.000Z"
"140","2016-08-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-08-01T00:00:00.000Z"
"141","2016-09-07T00:00:00.000Z","02a78439aec1b3920a79","5000","2016-09-01T00:00:00.000Z"
